MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
nginx,Official build of Nginx.,Application Infrastructure,https://hub.docker.com/_/nginx,10M+,debian:stretch-slim,debian,the 2-clause BSD-like license,,,"web-server-basic,scm-server,pxe-server",nginx,,,109MB,,,,,2017-04-19T13:50:01.539699Z,official,https://d1q6f0aelx0por.cloudfront.net/fa443219-42e0-4886-96b4-8733de694b72-c641a5d6-1ebf-44ee-9607-aef9b4ca1a3b-logo_large.png,linux,11156,image,2019-04-01T08:04:58.509568Z,1.15.10,TRUE
ubuntu,Ubuntu is a Debian-based Linux operating system based on free software.,Base Images,https://hub.docker.com/_/ubuntu,10M+,scratch,scratch,Ubuntu 'main' and 'restricted' component licence policy,,,,,,,88.9MB,,,,,2016-06-03T16:21:27.736179Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/2ee79de2-ebfe-4b84-8eae-3c302a275b88-ubuntu.png,linux,9358,image,2019-04-01T08:05:00.66586Z,18.04,FALSE
mysql,"MySQL is a widely used, open-source relational database management system (RDBMS).",Databases,https://hub.docker.com/_/mysql,10M+,debian:stretch-slim,debian,Oracle's Privacy Policy,,,,"MySQL-python
,
jdk-mysql-connector-java
,
perl-DateTime-Format-MySQL
,
golang-github-go-sql-driver-mysql",,,477MB,,,,,2016-05-31T21:47:03.703487Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/0dd7193f-e747-4a15-b797-818b9fac3656-mysql.png,linux,7972,image,2019-04-01T08:05:07.208829Z,8.0.15,TRUE
node,Node.js is a JavaScript-based platform for server-side and networking applications.,Application Infrastructure,https://hub.docker.com/_/node,10M+,buildpack-deps:jessie,buildpack-deps,ICU License - ICU 1.8.1 to ICU 57.1,,,,"nodeenv
,
nodejs",,,904MB,,,,,2016-06-17T17:45:46.898676Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a8957077-bbcd-41cc-b6d0-2924a1492e99-node.png,linux,7224,image,2019-04-01T08:05:02.615772Z,8.15.1-jessie,FALSE
redis,Redis is an open source key-value store that functions as a data structure server.,Databases,https://hub.docker.com/_/redis,10M+,debian:stretch-slim,debian,three clause BSD license.,,,"os-testsuite-phoronix-server,os-testsuite-phoronix","redis
,
redis-native",,,95MB,,,,,2016-06-17T23:07:46.606083Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/89e5782a-76ea-4b94-a561-39e331c281a5-redis.png,linux,6701,image,2019-04-01T08:04:59.285585Z,5.0.4,TRUE
postgres,The PostgreSQL object-relational database system provides reliability and data integrity.,Databases,https://hub.docker.com/_/postgres,10M+,debian:stretch-slim,debian,"PostgreSQL License, a liberal Open Source license, similar to the BSD or MIT licenses.",,,"koji,openqa,database-basic,synergy,wireshark","postgresql
,
jdk-postgresql",,,312MB,,,,,2016-06-01T23:04:41.27079Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a28dcd12-094d-4248-bfcc-f6fb954c7ab8-postgres.png,linux,6385,image,2019-04-01T08:05:01.57909Z,11.2,FALSE
mongo,MongoDB document databases provide high availability and easy scalability.,Databases,https://hub.docker.com/_/mongo,10M+,ubuntu:xenial,ubuntu,Server Side Public License and Apache license,,,,"mongodb
,
mongodict
,
rubygem-mongoid
,
rubygem-mongo
,
rubygem-mongo_mapper",,,409MB,,,,,2016-06-17T23:29:50.117516Z,official,,windows,5732,image,2019-04-01T08:04:57.44282Z,3.4.20-jessie,FALSE
centos,The official build of CentOS.,Base Images,https://hub.docker.com/_/centos,10M+,scratch,scratch,GNU General Public License,,,,,,,202MB,,,,,2016-06-02T20:18:52.167067Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/4fae2c05-6d9d-422a-a317-f501cd0ffd3c-centos.png,linux,5277,image,2019-04-01T08:05:14.905295Z,latest,FALSE
alpine,A minimal Docker image based on Alpine Linux with a complete package index and only 5 MB in size!,Featured Images,https://hub.docker.com/_/alpine,10M+,scratch,scratch,"PHP-3.01,MIT,BSD-2-Clause,Apache2.0,BSD-2-Clause",,,,,,,5.53MB,,,,,2016-06-03T16:38:49.371406Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/2ebdc784-9c22-4b27-adb7-b56079682762-alpine.png,linux,5131,image,2019-04-01T08:05:00.081343Z,20190228,FALSE
php,"While designed for web development, the PHP scripting language also provides general-purpose use.",Programming Languages,https://hub.docker.com/_/php,10M+,debian:stretch-slim,debian,PHP License v3.01,,,,php,,,367MB,,,,,2016-06-15T21:10:59.5901Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/6e8f9c4e-df5a-4832-803f-7949fc7e199c-php.png,linux,4416,image,2019-04-01T08:05:17.653015Z,7.3.3-cli-stretch,FALSE
jenkins,Official Jenkins Docker image,DevOps Tools,https://hub.docker.com/_/jenkins,10M+,openjdk:8-jdk,openjdk,MIT License,,,,,,,696MB,,,,,2016-06-14T22:28:05.702635Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/f5326186-8ae7-425c-a78d-7192dabf75be-jenkins.png,linux,4188,image,2019-04-01T08:05:43.534715Z,latest,FALSE
python,"Python is an interpreted, interactive, object-oriented, open-source programming language.",Programming Languages,https://hub.docker.com/_/python,10M+,buildpack-deps:stretch,buildpack-deps,Python PSF LICENSE AGREEMENT,,,,"python3
,
python
,
python2-mod_wsgi
,
compat-python36
,
msgpack-python
,
python-tabulate
,
python-magic
,
python-neutronclient
,
python-saharaclient
,
python-memcached
,
python-cliapp
,
python-creole
,
python-subunit
,
python-novaclient
,
python-ceilometerclient
,
python-perf
,
python-glanceclient
,
python-systemd
,
python-pkgconfig
,
python-ttystatus
,
python-crfsuite
,
python-toml
,
python-polib
,
python-mistralclient
,
python-mock
,
python-barbicanclient
,
qpid-python
,
python-openid
,
python-mimeparse
,
python-hwinfo",,,929MB,,,,,2016-06-09T16:26:25.944324Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/6bd224a8-e827-4593-b5b4-483338e9999e-python.png,linux,4026,image,2019-04-01T08:05:15.563233Z,3.8.0a3-stretch,FALSE
elasticsearch,Elasticsearch is a powerful open source search and analytics engine that makes data easy to explore.,Application Services,https://hub.docker.com/_/elasticsearch,10M+,docker.elastic.co/elasticsearch/elasticsearch:6.7.0,elasticsearch,ELASTIC LICENSE,,,,"elasticsearch
,
elasticsearch-py
,
elasticsearch-dep",,,810 MB,,,,,2016-06-09T15:03:38.553071Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/d21622d7-2cf2-49d6-acae-a8d04a5b64a9-elasticsearch.png,linux,3531,image,2019-04-01T08:05:32.893621Z,6.7.0` (*6/Dockerfile*)](https://github.com/docker-library/elasticsearch/blob/a1a331cbea5676d959fc796d140228d38d691e3d/6/Dockerfile),FALSE
